	x	y
0	where's the nearest parking garage	distance&poi_type
1	yes, please set directions via a route that avoids all heavy traffic if possible. 	poi&traffic_info
2	where is the nearest gas station?	distance&poi_type
3	show me the closest location where i can get chinese food	distance&poi_type
4	ok, please give me an address and directions via a route that avoids all heavy traffic. 	traffic_info
5	what time is dinner and who is it with?	event
6	schedule dentist appointment	event
7	it is on sunday at 2 pm.	date&time
8	check forecast for new york	location
9	will it be overcast on friday?	date&weather_attribute
10	will it be warm in camarillo over the next 2 days?	date&location&weather_attribute
11	what's the highest temperature for this week	date&weather_attribute
12	menlo park, please	date&location&weather_attribute
13	will there be hail in mountain view today?	date&location&weather_attribute
14	will the weather be warm in menlo park on sunday?	date&location&weather_attribute
15	what is the weather like today and tomorrow	date
16	i need to know if there is a blizzard in redwood city today.	date&location&weather_attribute
17	get me directions to the nearest shopping mall	distance&poi_type
18	remind me that i have a meeting at work on the 12th at 5 pm in conference room 100	date&event&room&time
19	where are the nearest coffee shops	distance&poi_type
20	please give me an address and directions to the peets coffee, and take the fastest route available. 	distance
21	what is the date of football and who is coming?	event
22	will it be stormy in redwood city on wednesday?	date&location&weather_attribute
23	is it going to snow today	date&weather_attribute
24	san mateo please.	location
25	what day and time is my yoga class?	event
26	is the weather cloudy right now	date
27	alameda.	location
28	will the weather be hail in alhambra during the next seven days?	date&location&weather_attribute
29	schedule a yoga activity with tom on the 8th at 2pm.	date&event&party&time
30	i need to find the shortest route to the hospital.	distance&poi_type
31	give me the closest fast food restaurant	distance&poi_type
32	sure find the fastest route to a pizza place that is within 3 miles of me.	distance&poi_type
33	yes, please!	poi
34	what is the date of my nextt dentist appointment and who will be attending it?	event
35	is it going to rain at all this upcoming week	date&weather_attribute
36	redwood city	date&location&weather_attribute
37	is there a nearby rest stop?	distance&poi_type
38	which has the least amount of traffic at the moment.	traffic_info
39	what is the address for keen?	poi
40	give me the address of the nearest shopping center to me, with the fastest route to it	distance&poi_type
41	what is the weather like today in tomorrow	date
42	will it be cloudy in compton today?	date&location&weather_attribute
43	tell me the time of today's meeting	event
44	find me a gas station that i can get to the quickest without any traffic	poi&traffic_info
45	ok, please give me directions via the fastest route. 	distance
46	where does my friend live?	poi_type
47	is that the fastest route?	distance
48	show me traffic for going home	poi_type
49	then pick the fastest route and set the gps to go there, thank you!	address&poi&poi_type&traffic_info
50	will it be dry in fresno on sunday?	date&location&weather_attribute
51	car i'm desiring to have pizza: is there any restaurant within 2 miles?	distance&poi_type
52	search hotels near me	distance&poi_type
53	find an alternate route please.	distance&poi&poi_type&traffic_info
54	set a reminder for my conference call tomorrow	date&event
55	tomorrow at 2 pm.	date&time
56	take me to the parking garage closest to my destination	distance&poi_type
57	uhh ok well i still need to park so what's the address?	distance&poi&poi_type
58	where can i get coffee	poi_type
59	set gps for the fastest route to palo alto cafe.	poi
60	schedule meeting. 	event
61	please set it for the 13th at 11am. it is going to be with management and to discuss our company picnic. thank you.	agenda&date&event&party&time
62	what is the weather like in new york city	location
63	what will the temperature be on thursday?	date&weather_attribute
64	can you find me the fastest route to a pizza restaurant?	poi_type&traffic_info
65	give me the address and the details for the fastest route there, please. 	distance&poi&poi_type&traffic_info
66	i have a meeting tomorrow at 5 pm remind me 10 minutes before hand and attach my agenda to the calendar at 3	agenda&date&event&time
67	does the forecast say it will snow	weather_attribute
68	i need to know about compton for my trip. 	location
69	please check if it will snow today or tomorrow	date&location&weather_attribute
70	i really need to have an appointment scheduled for tennis on the 7th at 11 am.	date&event&time
71	where's the closest place to park	distance&poi_type
72	i need to find a shopping center. 	poi_type
73	yes please.	poi
74	is it raining today in grand rapids?	date&location&weather_attribute
75	when is my football activity and who is going with me?	event
76	find out if it's supposed to rain	weather_attribute
77	i'm interested in fresno.	location
78	what grocery stores are here?	poi_type
79	i'm in pain navigate me to the nearest hospital	distance&poi_type
80	pick the fastest to reach on the quickest route	distance
81	search for nearby starbucks	distance&poi
82	how about other coffee?	poi_type
83	will it be windy in redwood city today?	date&location&weather_attribute
84	what's the weather forecast in new york	location
85	i need to know what the lowest temperature will be in new york in the next few days.	date&location&weather_attribute
86	set a reminder	agenda
87	i need to see the optometrist, set it for 7 pm on august 12th, please. 	date&event&time
88	when do i have dinner planned for	event
89	set a reminder for a lab appointment at 6 pm on sunday, august 8th with sister. 	date&event&party&time
