moderately priced restaurant	inform(pricerange)
sil	null()
im looking for a thai restaurant	inform(food)
expensive restaurant that serves vegetarian food	inform(food,pricerange,type)
noise	null()
noise	null()
im looking for a cheap restaurant in the south part of town	inform(area,pricerange,task,type)
i am looking for a moderately priced restaurant in the south part of town	inform(area,pricerange,task,type)
cheap restaurant	inform(pricerange,type)
unintelligible	null()
im looking for a restaurant in the west part of town	inform(area,task,type)
moderately priced west part of town	inform(area,pricerange)
i want to find a restaurant that serves french food	inform(food,type)
japanese food	inform(food)
im looking for a cheap restaurant in the north part of town	inform(area,pricerange,task,type)
i want to find a restaurant in the centre that serves thai food	inform(area,food,type)
moderately priced restaurant in the west	inform(area,pricerange,type)
restaurant	inform(type)
restaurant in the east part of town international food	inform(area,food,type)
im looking for a cheap restaurant in the east part of town	inform(area,pricerange,task,type)
i want a restaurant in the north part of town	inform(area,type)
sil	null()
i want brazilian food	inform(food)
i need to find an expensive restaurant in the south part of town	inform(area,pricerange,type)
im looking for an expensive restaurant in the south part of town	inform(area,pricerange,task,type)
im looking for a cheap restaurant in the north part of town	inform(area,pricerange,task,type)
i need a restaurant that serves thai food	inform(food,type)
um moderate	inform(pricerange)
cheap restaurant in the north part of town	inform(area,pricerange,type)
portuguese food	inform(food)
noise	null()
i need a moderately priced restaurant in the north part of town	inform(area,pricerange,type)
unintelligible	null()
i want a moderately priced restaurant in the north town	inform(area,pricerange,type)
im looking for a restaurant in the center	inform(area,task,type)
sil	null()
i want a restaurant that serves welsh food	inform(food,type)
im looking for a cheap restaurant in the west part of town	inform(area,pricerange,task,type)
moderately priced in the south part of town	inform(area,pricerange)
i want a moderate priced restaurant that serves indian food	inform(food,pricerange,type)
restaurant in the east part of town that serves indonesian food	inform(area,food,type)
tuscan food	inform(food)
sil	null()
i want to find an expensive restaurant	inform(pricerange,type)
im looking for a restaurant in the center that serves romanian food	inform(area,food,task,type)
i got to find a cheap restaurant that serves mexican food	inform(food,pricerange,type)
jamaican food	inform(food)
moderately priced restaurant north part of town	inform(area,pricerange,type)
id like a cheap restaurant in the south part of town	inform(area,pricerange,type)
im looking for a restaurant in the south part of town it should serve kosher food	inform(area,food,task,type)
uh cheap restaurant serving scandinavian food	inform(food,pricerange,type)
im looking for a restaurant in the south part of town that serves greek food	inform(area,food,task,type)
could i have brazilian food	inform(food)
in the east part of town	inform(area)
japanese food	inform(food)
unintelligible	null()
sil	null()
im looking for a cheap vietnamese restaurant	inform(food,pricerange,task,type)
moderately priced priced restaurant	inform(pricerange,type)
sil	null()
im looking for a restaurant in the north part of town that serves french food	inform(area,food,task,type)
scandinavian	inform(food)
i need an expensive restaurant in the east part of town	inform(area,pricerange,type)
im looking for an expensive restaurant in the south part of town	inform(area,pricerange,task,type)
